Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global,count
Banashankari,Ok,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,905
Basavanagudi,Ok,"Basavanagudi, Bengaluru, Karnataka, India",12.9405997,77.5737633,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,684
Mysore Road,"2 found, use single geocode.","Mysore Rd, Karnataka, India",12.637168,77.1301595,route,GEOMETRIC_CENTER,,Mysore Road,,,India,Karnataka,,,,,,22
Jayanagar,Ok,"Jayanagar, Bengaluru, Karnataka, India",12.9307735,77.5838302,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1926
Kumaraswamy Layout,Ok,"Kumaraswamy Layout, Bengaluru, Karnataka 560078, India",12.9044382,77.5649278,"political, sublocality, sublocality_level_1",APPROXIMATE,,,560078,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,195
Rajarajeshwari Nagar,Ok,"Rajarajeshwari Nagar, Bengaluru, Karnataka, India",12.9148603,77.5206395,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,2
Vijay Nagar,"2 found, use single geocode.","Vijay Nagar, Indore, Madhya Pradesh 452010, India",22.7532848,75.8936962,"political, sublocality, sublocality_level_1",APPROXIMATE,,,452010,Indore,India,Madhya Pradesh,Indore Division,Indore Division,,,,80
Uttarahalli,Ok,"Uttarahalli Hobli, Bengaluru, Karnataka, India",12.9069823,77.552059,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,17
JP Nagar,Ok,"J. P. Nagar, Bengaluru, Karnataka 560078, India",12.9063433,77.5856825,"political, sublocality, sublocality_level_1",APPROXIMATE,,,560078,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,2235
South Bangalore,"3 found, use single geocode.","Bengaluru, Karnataka, India",12.9715987,77.5945627,"locality, political",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,107
